Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2122,The Fountainhead,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""""","=""""",0,3.88,Signet Book,Mass Market Paperback,704,1996,1943,,2016/04/05,to-read,to-read (#77),to-read,,,,0,0
22253747,Data and Goliath: The Hidden Battles to Collect Your Data and Control Your World,Bruce Schneier,"Schneier, Bruce",,"=""0393244814""","=""9780393244816""",0,4.01,W. W. Norton & Company,Hardcover,398,2015,2015,,2016/02/19,to-read,to-read (#76),to-read,,,,0,0
26524796,Raskrigaren: Seriemördaren Peter Mangs,Mattias Gardell,"Gardell, Mattias",,"=""9173433810""","=""9789173433815""",0,3.85,Leopard Förlag,Hardcover,439,2015,2015,,2016/02/19,to-read,to-read (#75),to-read,,,,0,0
3876,The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",0,3.80,Pan Books,Paperback,189,1957,1926,,2016/02/19,to-read,to-read (#74),to-read,,,,0,0
493212,Propaganda,Edward L. Bernays,"Bernays, Edward L.",Mark Crispin Miller,"=""0970312598""","=""9780970312594""",0,3.76,Ig Publishing,Paperback,168,2004,1928,,2016/01/24,to-read,to-read (#73),to-read,,,,0,0
17373143,Congo/The Terminal Man,Michael Crichton,"Crichton, Michael",,"=""""","=""""",0,3.91,Cresset Editions,Hardcover,584,1995,1995,,2015/12/29,to-read,to-read (#72),to-read,,,,0,0
455373,Sphere,Michael Crichton,"Crichton, Michael",,"=""""","=""""",0,3.82,Ballantine Books,Paperback,371,1997,1987,,2015/12/29,to-read,to-read (#70),to-read,,,,0,0
22512931,Building Microservices: Designing Fine-Grained Systems,Sam Newman,"Newman, Sam",,"=""1491950358""","=""9781491950357""",0,4.21,O'Reilly Media,Paperback,473,2015,2014,,2015/12/20,to-read,to-read (#69),to-read,,,,0,0
19542151,Det som inte dödar oss,David Lagercrantz,"Lagercrantz, David",Stieg Larsson,"=""9113060732""","=""9789113060736""",3,3.80,Norstedts,Hardcover,508,2015,2015,,2015/12/06,,,read,,,,1,0
1998095,Mig äger ingen,Åsa Linderborg,"Linderborg, Åsa",,"=""9173893218""","=""9789173893213""",0,3.82,Bokförlaget Atlas,Paperback,294,2008,2007,,2015/11/18,to-read,to-read (#68),to-read,,,,0,0
18189462,Ghostman (Jack White #1),Roger Hobbs,"Hobbs, Roger",,"=""0552169161""","=""9780552169165""",0,3.78,Corgi Books,Paperback,400,2014,2013,,2015/10/17,to-read,to-read (#67),to-read,,,,0,0
23357525,Sekreterarklubben,Jan Bergman,"Bergman, Jan",,"=""9113052896""","=""9789113052892""",0,3.13,Norstedts,Hardcover,380,2014,2014,,2015/09/04,to-read,to-read (#66),to-read,,,,0,0
433567,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,"Abbott, Edwin A.",,"=""048627263X""","=""9780486272634""",0,3.81,"Dover Publications, Inc.",Paperback,96,1992,1884,,2015/08/24,to-read,to-read (#65),to-read,,,,0,0
567678,The Wasp Factory,Iain Banks,"Banks, Iain",Zübeyde Abat,"=""0684853159""","=""9780684853154""",0,3.78,Simon & Schuster (NYC),Paperback,184,1998,1984,,2015/08/24,to-read,to-read (#64),to-read,,,,0,0
18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,"=""0440498058""","=""9780440498056""",0,3.98,Yearling Books,Paperback,211,1973,1962,,2015/08/24,to-read,to-read (#63),to-read,,,,0,0
1953,A Tale of Two Cities,Charles Dickens,"Dickens, Charles",Richard Maxwell,"=""0141439602""","=""9780141439600""",0,3.87,Penguin Books,Paperback,489,2003,1859,,2015/08/24,to-read,to-read (#62),to-read,,,,0,0
148639,Waterland,Graham Swift,"Swift, Graham",,"=""0330336320""","=""9780330336321""",0,3.91,Picador,Paperback,368,1999,1983,,2015/08/24,to-read,to-read (#61),to-read,,,,0,0
7668,Rising Sun,Michael Crichton,"Crichton, Michael",,"=""0606298231""","=""9780606298230""",0,3.65,Demco Media,Mass Market Paperback,399,2004,1992,,2015/08/20,to-read,to-read (#60),to-read,,,,0,0
32504,"Blood Work (Harry Bosch Universe, #7)",Michael Connelly,"Connelly, Michael",,"=""0446690449""","=""9780446690447""",3,4.15,Warner Books,Mass Market Paperback,498,2002,1998,2015/08/19,2015/08/19,,,read,,,,1,0
4980,Breakfast of Champions,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385334206""","=""9780385334204""",0,4.07,Dell Publishing,Paperback,303,1999,1973,,2015/08/18,to-read,to-read (#59),to-read,,,,0,0
11107244,The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker,"Pinker, Steven",,"=""0670022950""","=""9780670022953""",0,4.16,Viking,Hardcover,802,2011,2010,,2015/08/12,to-read,to-read (#58),to-read,,,,0,0
3378,Generation X: Tales for an Accelerated Culture,Douglas Coupland,"Coupland, Douglas",,"=""0349108390""","=""9780349108391""",0,3.74,Abacus,Paperback,211,1996,1991,,2015/08/10,to-read,to-read (#57),to-read,,,,0,0
5776788,"Sandman Slim (Sandman Slim, #1)",Richard Kadrey,"Kadrey, Richard",,"=""0061714305""","=""9780061714306""",0,3.94,Harper Voyager,Hardcover,388,2009,2009,,2015/08/09,to-read,to-read (#56),to-read,,,,0,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""0140449264""","=""9780140449266""",0,4.29,Penguin Classics,Paperback,1276,2003,1844,,2015/08/09,to-read,to-read (#55),to-read,,,,0,0
22584,"Flow My Tears, the Policeman Said",Philip K. Dick,"Dick, Philip K.",Chris     Moore,"=""1857983416""","=""9781857983418""",0,3.92,Gollancz  ,Paperback,204,2001,1974,,2015/08/09,to-read,to-read (#54),to-read,,,,0,0
